M_WW[GeV], ratio(EFT/SM), stat_err
2.003333333333333428e+02,1.001957033145774778e+00,2.464484276504188328e-03
2.810000000000000000e+02,9.974361730257219616e-01,2.928316818603954406e-03
3.616666666666666856e+02,1.004943355165847318e+00,3.801261121474217627e-03
4.423333333333333712e+02,9.985094298832786208e-01,4.759788815975096558e-03
5.230000000000000000e+02,1.001776043791859694e+00,5.865341805686630737e-03
6.036666666666667425e+02,9.997129465482466060e-01,7.061230880482138525e-03
6.843333333333333712e+02,9.984156006947516593e-01,8.422526728130970072e-03
7.650000000000000000e+02,1.003849076967471943e+00,9.981405923526162280e-03
8.456666666666667425e+02,9.969317271506847877e-01,1.159949753744296021e-02
9.263333333333333712e+02,9.929981840519898073e-01,1.343462272063813620e-02
1.007000000000000114e+03,1.019629059471172106e+00,1.596074507664574718e-02
1.087666666666666742e+03,9.892498249547873046e-01,1.763522537947967428e-02
1.168333333333333485e+03,9.844363133548414968e-01,2.016476334234931431e-02
1.249000000000000000e+03,9.679564315664085372e-01,2.259159592280767653e-02
1.329666666666666742e+03,9.319878266602615868e-01,2.490379574605305901e-02
1.410333333333333485e+03,9.691274034389604219e-01,2.893591883937534151e-02
1.491000000000000000e+03,9.473965904237890978e-01,3.260808295238956656e-02
1.571666666666666742e+03,9.508410046493772638e-01,3.768558208374948870e-02
1.652333333333333485e+03,9.737157582146825918e-01,4.160821174605811718e-02
1.733000000000000000e+03,9.242291526692175685e-01,4.480051877928210163e-02
1.813666666666666742e+03,9.332782626016297156e-01,5.109701129724945196e-02
1.894333333333333485e+03,1.026756348331621105e+00,6.325799197986881062e-02
1.975000000000000000e+03,9.586295835487900208e-01,6.381651812512637023e-02
2.055666666666666970e+03,9.435807931160450357e-01,6.848324433190022820e-02
2.136333333333333485e+03,9.605690946746149317e-01,7.542640367248273914e-02
2.217000000000000000e+03,8.115120592093082452e-01,7.095078668796461763e-02
2.297666666666666970e+03,9.085661565263728479e-01,8.482129383194660088e-02
2.378333333333333485e+03,1.049553326454820024e+00,1.090122682726997611e-01
2.459000000000000000e+03,9.475585501481510464e-01,1.098207664248651433e-01
2.539666666666666970e+03,1.008608148206698196e+00,1.333026759648008042e-01
2.620333333333333485e+03,1.068791962747367430e+00,1.594146871637021068e-01
2.701000000000000000e+03,1.078256281203068490e+00,1.482154574457953122e-01
2.781666666666666970e+03,7.498782319275885122e-01,1.194222435012392836e-01
2.862333333333333485e+03,1.028002083205896033e+00,1.713502081647537423e-01
2.943000000000000000e+03,1.032090469749799233e+00,1.839150242043813277e-01
3.023666666666666970e+03,9.563664407192433714e-01,2.016695497943569726e-01
3.104333333333333485e+03,9.147450772450016476e-01,1.930359418594320420e-01
3.185000000000000000e+03,8.748579372488533012e-01,2.263909994297730599e-01
3.265666666666666970e+03,9.720643747209480878e-01,2.307485224130503831e-01
3.346333333333333485e+03,1.555302999553517029e+00,4.698710168744886784e-01
3.427000000000000000e+03,9.257755949723315281e-01,2.569540772252575933e-01
3.507666666666666970e+03,1.277570321061817449e+00,4.020467650580790142e-01
3.588333333333333485e+03,1.176279579494256655e+00,3.880359482209994049e-01
3.669000000000000000e+03,1.545203629426546099e+00,5.979211722543060770e-01
3.749666666666666970e+03,9.998376425701180903e-01,4.263322032705079145e-01
3.830333333333333485e+03,6.921952910100817036e-01,3.001560144143232689e-01
3.911000000000000000e+03,1.142671591508706230e+00,5.913887332043050726e-01
3.991666666666666970e+03,1.142671591508706230e+00,5.913887332043050726e-01
4.072333333333333485e+03,1.333116856760157454e+00,1.018184817720837243e+00
4.153000000000000000e+03,1.666396070950196817e+00,8.605232307967446426e-01
4.233666666666666970e+03,1.399772699598165193e+00,8.196229677895288113e-01
4.314333333333333940e+03,3.499431748995413205e+00,2.805787425672844115e+00
4.395000000000000000e+03,1.999675285140236181e+00,2.449092049924017633e+00
4.475666666666666970e+03,2.999512927710354049e+00,3.463539192502670616e+00
4.556333333333333940e+03,nan,nan
4.637000000000000000e+03,3.999350570280472361e+00,4.471409870499843286e+00
4.717666666666666970e+03,1.999675285140236181e+00,1.731769596251335530e+00
4.798333333333333940e+03,2.999512927710354049e+00,3.463539192502670616e+00
4.879000000000000000e+03,nan,nan
4.959666666666666970e+03,3.332792141900393634e-01,3.848376880558523339e-01
